anxiety,fear,nervousness,sadness,suffering,shame, insight, saran
1,1,1,0,0,0,"Kayaknya kamu lagi agak khawatir tentang hal-hal kecil, ya? Mungkin lagi mikirin sesuatu yang nggak terlalu gede, tapi tetap aja jadi beban sedikit. Kamu tipe orang yang sensitif banget sama hal-hal kecil yang bakal datang, tapi tenang, ini cuma sementara kok, bakal lewat juga.", "Coba tarik napas dalam-dalam, biar otak kamu nggak ke-overthinking. Rencanain hal-hal kecil yang bisa bikin kamu lebih siap, jadi rasa khawatir itu berkurang."
1,1,2,0,0,0,"Kamu ngerasa sedikit cemas karena mungkin ada beberapa hal yang bakal datang, tapi nggak terlalu takut juga, cuma ya gelisahnya agak kerasa. Perasaan ini sering muncul pas kita lagi menunggu sesuatu yang penting, dan itu bisa bikin pikiran jadi lebih berantakan.", "Coba deh mindfulness atau meditation, yang bisa bikin kamu lebih chill. Atau, ngobrol aja sama temen yang bisa kasih pandangan lain, biar nggak overthinking sendiri."
1,1,3,0,0,0,"Cemasnya sih nggak berlebihan, tapi ketegangan kamu di level yang cukup tinggi. Mungkin kamu lagi mikirin hal besar, dan itu bikin semua jadi kayak lebih berat. Perasaan ini kadang muncul saat kita ngadepin hal-hal yang kita gak yakin banget."," Ngobrol sama mentor atau konselor bisa jadi solusi banget. Mereka bisa bantu kamu keluar dari pola pikir yang negatif dan bikin kamu lebih relax."
1,2,1,0,0,0,"Kamu nggak terlalu cemas, tapi ada rasa takut sedikit yang bikin kamu merasa nggak nyaman. Gelisahnya sih masih bisa dikendalikan, tapi mungkin kamu lagi mikirin hal yang lebih besar dari apa yang sebenarnya harus dihadapi.","Fokus aja ke langkah-langkah kecil dan ngobrol sama temen atau orang yang kamu percayai, supaya perasaan itu nggak ganggu pikiran kamu terus."
1,2,2,0,0,0,"Cemasnya sih nggak parah, tapi ketakutan kamu agak lebih besar. Gelisahnya pun jadi agak kerasa, mungkin karena kamu nggak yakin sama hasil atau keputusan yang harus diambil. Kamu mungkin juga lagi ngerasa bingung atau terjebak di antara ketakutan dan rasa nggak pasti.", "Coba fokus ke hal-hal yang bisa kamu kontrol aja dulu. Ngobrol sama temen kerja atau rekan yang bisa bantu kamu lebih tenang bisa jadi cara ampuh buat ngerem kecemasan."
1,2,3,0,0,0, "Cemasnya sih nggak terlalu parah, tapi rasa takut kamu lebih kuat, dan gelisahnya juga jadi lebih kerasa. Itu tandanya kamu lagi bener-bener mikirin sesuatu yang mungkin belum tentu terjadi, tapi ngerasa ketakutan itu besar banget.","Kalau kamu udah ngerasa overwhelmed, lebih baik cari dukungan profesional. Bisa jadi ngobrol sama psikolog atau konselor bakal bikin kamu punya perspektif yang lebih jelas."
1,3,1,0,0,0,"Kamu ngerasa cemas sih nggak terlalu berlebihan, tapi takut kamu lumayan gede. Gelisahnya masih bisa diatur, tapi ketakutan kamu mungkin berlebihan terhadap sesuatu yang belum pasti. Kamu punya banyak pikiran dan takut sama hal yang belum kejadian.","Coba lebih terstruktur dan mulai planning. Ngobrol sama orang yang lebih berpengalaman bisa banget bantu kamu atasi ketakutan itu dengan lebih jelas."
1,3,2,0,0,0,"Cemasnya masih bisa dibilang biasa aja, tapi takut kamu lumayan tinggi, dan gelisahnya semakin kerasa. Kamu mungkin lagi ngadepin hal yang besar, tapi ketakutan itu malah jadi lebih gede dari yang seharusnya. Pikirannya jadi agak kacau deh.","Ngobrol sama orang lain bisa ngebantu banget ngurangin ketakutan itu. Pasti ada sudut pandang lain yang bisa bikin kamu lebih tenang."
1,3,3,0,0,0,"Cemasnya sih nggak besar, tapi ketakutan dan kegelisahan kamu udah tinggi banget. Kamu mungkin lagi mikirin hal besar yang bikin kamu tertekan dan merasa terhambat. Kadang ketakutan yang nggak jelas bisa bikin semua jadi lebih besar.","Konsultasi sama psikolog atau terapis bisa bantu banget untuk ngurangin ketakutan yang nggak perlu itu dan bikin kamu lebih terkontrol."
2,1,1,0,0,0,"Kamu lagi cemas sih agak lumayan, tapi ketakutan dan kegelisahan kamu nggak terlalu berlebihan. Kamu mungkin lagi mikirin hal-hal kecil yang nggak perlu terlalu dipikirin, tapi tetap aja jadi kayak beban sedikit.","Coba take a break, tarik napas dalam-dalam, atau ngobrol sama orang yang bisa bantu kamu relax."
2,1,2,0,0,0,"Lagi ada di situasi yang bikin kamu agak khawatir, tapi nggak perlu terlalu dipikirin sih. Mungkin kamu lagi mikirin hal-hal kecil yang nggak terlalu gede, tapi tetep aja berasa jadi beban sedikit.","Coba deh fokus ke napas kamu, atau ngobrol sama temen yang bisa bantu nge-‘clear’ kepala kamu, pasti lebih enakan."
2,1,3,0,0,0,"Ngerasa sedikit cemas, tapi ketakutan kamu agak gede, dan gelisahnya udah lumayan tinggi? Itu sih kadang terjadi kalau kamu lagi ngerasa nggak siap sama sesuatu, dan kepala kamu jadi nggak tenang.","Bicara sama seorang mentor atau konselor bisa banget bantu. Mereka bakal kasih perspektif yang bikin kamu lebih lega."
2,2,1,0,0,0,"Lagi ngerasain cemas dan takut sedikit, terus gelisahnya juga nggak bisa dibilang ringan. Kamu mungkin lagi merasa terjebak antara ketakutan dan ketidakpastian, tapi tenang, ini semua bisa dihadapi kok.","Coba ngobrol sama temen atau orang yang kamu percaya, biar kamu bisa lebih fokus dan nggak terlalu mikirin hal-hal yang nggak perlu."
2,2,2,0,0,0,"Cemas dan takutnya lumayan, terus gelisahnya agak kerasa. Ini berarti kamu lagi ada di situasi yang agak berat, tapi bukan berarti nggak bisa diatasi, kok.","Fokus aja dulu ke langkah kecil dan coba untuk lebih relax. Menulis atau melakukan hal-hal yang kamu suka bisa bantu banget."
2,2,3,0,0,0,"Cemas dan takut kamu udah lumayan, dan gelisahnya pun makin kerasa. Mungkin kamu lagi dipenuhi perasaan tertekan, tapi percayalah kamu bisa melewatinya.","Sebaiknya ngobrol sama seseorang yang berpengalaman, atau bahkan pertimbangkan buat konsultasi sama profesional. Itu bisa bantu banget buat ngurangin tekanan yang ada."
2,3,1,0,0,0,"Cemasnya lumayan, takutnya udah gede, gelisahnya sih masih bisa dikendalikan. Kamu mungkin lagi overthinking sama hal-hal yang belum tentu terjadi, dan itu bikin kamu nggak tenang.","Coba fokus aja ke langkah-langkah kecil yang bisa kamu kontrol. Ngobrol sama temen atau mentor bisa bantu banget biar kamu nggak kebanyakan mikir."
2,3,2,0,0,0,"Cemasnya lumayan, takut tinggi banget, gelisahnya sedang. Ini berarti kamu perlu lebih tenang dan fokus pada hal yang bisa kamu kontrol.","Bicara sama seseorang yang dipercaya bisa bantu ngurangin ketegangan dan bikin kamu lebih tenang."
2,3,3,0,0,0,"Cemas lumayan, takutnya tinggi, gelisahnya juga tinggi. Ini saatnya kamu butuh banyak dukungan, karena semuanya bisa jadi terasa overwhelming.","Kalau kamu udah ngerasa overwhelmed banget, lebih baik cari dukungan profesional. Mereka bisa bantu banget untuk ngurangin tekanan yang kamu rasain."
3,1,1,0,0,0,"Cemas kamu tinggi banget, takutnya dikit, gelisahnya nggak begitu kerasa. Kamu mungkin lagi mikir terlalu banyak tentang hal-hal kecil yang nggak perlu dipikirin terlalu jauh.","Coba ambil waktu buat tenang, ngobrol sama temen atau keluarga buat kasih ruang ke diri kamu, biar lebih chill dan nggak kebanyakan mikir."
3,1,2,0,0,0, "Cemas kamu tinggi banget, takutnya sedikit, gelisahnya agak sedang. Kamu lagi mikirin hal yang berat banget dan ngerasa kayak bawa beban yang nggak perlu deh.","Menulis atau ngobrol sama temen yang bisa kasih perspektif beda bakal bantu banget ngurangin kecemasan kamu."
3,1,3,0,0,0,"Cemas tinggi banget, takutnya dikit, gelisahnya sangat tinggi. Ini emang saat yang penuh tekanan banget, dan kamu butuh banget dukungan buat ngelewatinya.","Dapatkan dukungan profesional, karena itu bisa bantu banget buat ngatasi kecemasan yang berlebihan ini dan bikin kamu lebih tenang."
3,2,1,0,0,0,"Lagi cemas banget, takutnya agak ada, dan gelisahnya dikit aja. Kamu mungkin lagi ngerasa nggak tenang sama hal yang nggak jelas banget.","Fokus ke hal-hal kecil aja dulu, dan coba ngobrol sama temen atau orang yang lebih berpengalaman buat ngurangin ketakutan kamu."
3,2,2,0,0,0,"Cemas tinggi banget, takutnya agak ada, dan gelisahnya agak lebih. Kamu lagi mikirin hal yang nggak pasti, dan itu bisa bikin kamu ngerasa tertekan.","Cobalah bicara dengan orang terdekat atau profesional biar kamu bisa dapat sudut pandang baru dan lebih tenang."
3,2,3,0,0,0,"Cemas banget, takut agak besar, dan gelisah banget. Itu bisa jadi pertanda kamu lagi di titik tertekan banget dan butuh dukungan lebih.","Jika udah ngerasa overwhelm, mending langsung cari bantuan profesional. Mereka bisa bantu banget buat ngurangin kecemasan dan nambahin ketenangan."
3,3,1,0,0,0,"Cemas banget, takut tinggi, dan gelisahnya sih masih bisa dikendalikan. Kamu lagi terlalu mikirin hal-hal yang belum tentu terjadi, dan itu bikin kamu nggak tenang.","Coba deh tarik napas dalam-dalam, fokus ke langkah-langkah kecil aja yang bisa kamu kontrol, dan ngobrol sama orang yang bisa bantu ngurangin ketakutan kamu."
3,3,2,0,0,0,"Cemas tinggi banget, takut tinggi, gelisahnya agak lebih. Kamu mungkin merasa terkekang banget sama ketakutan ini, dan segala hal terasa jadi lebih berat.","Pertimbangkan untuk berbicara dengan seorang profesional yang bisa bantu meredakan ketakutan dan kecemasan yang kamu rasakan."
3,3,3,0,0,0,"Cemas tinggi banget, takut tinggi, gelisahnya juga tinggi. Itu bisa jadi saat-saat yang sangat penuh tekanan, dan kamu butuh banyak dukungan untuk ngadepin ini.","Cari dukungan dari seorang psikolog atau terapis bisa banget membantu kamu merasa lebih tenang dan menemukan cara mengatasi kecemasan ini."
1,1,0,1,0,0,"Cemas dan takut kamu rendah banget, tapi kamu lagi merasa agak sedih. Mungkin ada yang bikin kamu ngerasa kecewa atau nggak puas, ya?","Coba deh luangin waktu buat diri sendiri, lakukan hal yang kamu sukai, atau ngobrol sama teman biar bisa ngerasain kebahagiaan kecil."
1,1,0,2,0,0,"Cemas dan takut kamu sih nggak besar, tapi ada rasa kesedihan yang lumayan. Mungkin kamu lagi ngerasa nggak puas atau ada yang mengganjal di hati.","Mencoba meditasi atau jalan-jalan sejenak bisa membantu ngurangin kesedihan itu. Ingat, perasaan ini bakal lewat kok."
1,1,0,3,0,0,"Cemas dan takut kamu rendah banget, tapi rasa sedih kamu lumayan tinggi. Kayaknya kamu lagi ngerasa cukup kecewa dengan situasi yang ada.","Coba deh cari waktu untuk refleksi diri atau berbicara sama orang yang bisa memberi perspektif baru, supaya kamu nggak merasa terus-terusan tertekan."
1,2,0,1,0,0,"Cemas sedikit, takutnya agak ada, dan kesedihan kamu sih ringan. Mungkin kamu lagi merasa sedikit nggak puas sama sesuatu.","Coba cari aktivitas yang bikin kamu senang, atau deh ngobrol sama temen biar bisa ngurangin perasaan kecewa sedikit."
1,2,0,2,0,0,"Cemas sedikit, takutnya agak ada, dan kesedihan kamu lumayan kerasa. Kamu mungkin lagi merasa nggak puas dengan apa yang terjadi di sekitar kamu.","Lakukan hal-hal yang bisa ngebuat kamu lebih rileks, kayak olahraga ringan atau nonton film kesukaan, supaya kamu bisa lebih chill."
1,2,0,3,0,0,"Cemas sedikit, takut agak ada, dan kesedihan kamu tinggi. Kayaknya ada yang bikin kamu merasa cukup kecewa atau nggak puas dengan sesuatu yang terjadi, ya?","Coba cari waktu untuk refleksi diri atau ngobrol sama orang yang bisa memberi perspektif baru, supaya kamu nggak merasa terus-terusan tertekan."
1,3,0,1,0,0,"Cemas sedikit, takut tinggi, dan sedihnya sedikit. Kamu mungkin lagi ngerasa sedikit overwhelmed sama ketakutan yang kamu rasain, tapi nggak terlalu parah kok.","Fokus aja ke langkah-langkah kecil yang bisa kamu kontrol. Ngobrol sama temen atau keluarga bisa bantu banget untuk bikin kamu lebih tenang."
1,3,0,2,0,0,"Cemas sedikit, takut tinggi, dan kesedihan kamu lumayan. Ketakutan yang gede bikin kamu merasa lebih terbebani dan ngerasa tertekan.","Bicara sama seseorang yang berpengalaman bisa bantu banget buat ngurangin ketakutan dan nyari solusi untuk rasa sedih yang kamu rasain."
1,3,0,3,0,0,"Cemas sedikit, takut tinggi, gelisahnya juga tinggi. Ketakutan yang besar bisa bikin kamu merasa bener-bener tertekan.","Cari dukungan dari seorang profesional, mereka bisa bantu untuk ngurangin ketakutan dan kecemasan yang berlebihan ini."
2,1,0,1,0,0,"Cemas lumayan, takutnya dikit, dan kesedihan kamu sedikit. Kamu mungkin lagi merasa sedikit nggak puas dengan hal-hal yang terjadi di sekitar kamu.","Coba deh cari waktu untuk diri sendiri, mungkin bisa lewat kegiatan yang bikin kamu bahagia, atau ngobrol sama orang terdekat."
2,1,0,2,0,0,"Cemas lumayan, takutnya sedikit, dan kesedihan kamu lumayan. Kamu mungkin lagi mikirin beberapa hal yang agak berat, dan itu bikin kamu merasa kecewa atau nggak puas.","Fokus dulu ke hal-hal kecil yang bikin kamu senang, atau coba cari hobi baru yang bisa ngebantu ngurangin kesedihan kamu."
2,1,0,3,0,0,"Cemas lumayan, takut sedikit, dan kesedihan kamu tinggi. Kamu mungkin lagi merasa kecewa banget dengan situasi yang ada.","Coba deh cari waktu untuk berbicara dengan orang yang kamu percayai, atau sekedar melakukan aktivitas yang bisa bikin kamu lebih rileks dan bahagia."
2,2,0,1,0,0,"Cemas lumayan, takutnya lumayan, gelisahnya sedikit. Kamu mungkin lagi mikirin banyak hal, dan ada sedikit ketidakpastian yang bikin kamu merasa agak tertekan.","Coba deh ngobrol sama teman atau mentor yang bisa bantu ngurangin ketakutan dan bikin kamu lebih tenang."
2,2,0,2,0,0,"Cemas lumayan, takut lumayan, dan kesedihan kamu sedikit. Mungkin kamu lagi merasa sedikit kecewa dengan hal-hal yang nggak sesuai ekspektasi.","Lakukan hal-hal yang bikin kamu merasa lebih tenang, seperti olahraga ringan atau ngelakuin aktivitas yang kamu suka."
2,2,0,3,0,0,"Cemas lumayan, takut lumayan, dan kesedihan kamu lumayan. Ketakutan dan kesedihan bisa nambahin beban di kepala kamu.","Bicara sama orang yang lebih berpengalaman atau profesional bisa bantu kamu untuk ngurangin rasa kecewa dan ketakutan yang ada."
