anxiety,fear,nervousness,sadness,suffering,shame,insight,saran,validation
1,1,1,0,0,0,"cemas sedikit, rasa takut sedikit, gelisah sedikit","1. Cobalah teknik pernapasan dalam: hirup perlahan melalui hidung, tahan sebentar, dan hembuskan perlahan melalui mulut. Ulangi beberapa kali.

2. Alihkan perhatian Anda dengan aktivitas yang menenangkan, seperti mendengarkan musik yang menenangkan, membaca buku, atau berjalan-jalan di alam.

3. Minum air putih dan pastikan Anda cukup istirahat.  Tubuh yang lelah dapat memperburuk kecemasan.","Wah, kayaknya kamu lagi ngerasain sedikit cemas, takut, dan gelisah ya?  Aku ngerti banget,  itu wajar kok,  kadang kita memang butuh waktu untuk menenangkan diri."
1,1,2,0,0,0,"cemas sedikit, rasa takut sedikit, gelisah lumayan","1. Cobalah teknik pernapasan dalam: tarik napas dalam-dalam melalui hidung, tahan beberapa detik, dan hembuskan perlahan melalui mulut. Ulangi beberapa kali.

2. Alihkan perhatian Anda dengan aktivitas yang menenangkan, seperti mendengarkan musik yang menenangkan, membaca buku, atau mandi air hangat.

3. Minumlah segelas air dan pastikan Anda cukup terhidrasi. Dehidrasi dapat memperburuk kecemasan.","Wah, kayaknya kamu lagi ngerasain cemas, sedikit takut, dan agak gelisah ya?  Nggak apa-apa kok merasa begitu,  kadang hidup memang menyajikan tantangan yang bikin kita merasa seperti ini."
1,1,3,0,0,0,"cemas sedikit, rasa takut sedikit, gelisah tinggi","1. Cobalah teknik pernapasan dalam: tarik napas dalam-dalam melalui hidung, tahan beberapa saat, lalu hembuskan perlahan melalui mulut. Ulangi beberapa kali.

2. Alihkan perhatian Anda dengan aktivitas yang menenangkan, seperti mendengarkan musik yang menenangkan, membaca buku, atau mandi air hangat.

3. Minum air putih dan pastikan Anda cukup terhidrasi. Dehidrasi dapat memperburuk kecemasan.","Kayaknya kamu lagi merasa nggak tenang banget ya,  diliputi kecemasan dan sedikit rasa takut;  nggak apa-apa kok,  merasakan semua itu itu wajar banget."
1,2,1,0,0,0,"cemas sedikit, rasa takut lumayan, gelisah sedikit","1. Cobalah teknik pernapasan dalam:  Hirup udara dalam-dalam melalui hidung, tahan beberapa saat, lalu hembuskan perlahan melalui mulut. Ulangi beberapa kali.

2. Alihkan perhatian Anda:  Lakukan aktivitas yang menenangkan seperti mendengarkan musik yang menenangkan, membaca buku, atau berjalan-jalan santai di alam.

3. Minum air putih hangat:  Dehidrasi dapat memperburuk kecemasan.  Minum air hangat dapat membantu merilekskan tubuh.","Kayaknya kamu lagi ngerasain cemas dan takut ya,  wajar kok merasa begitu kalau lagi dihadapkan dengan situasi yang kurang nyaman."
1,2,2,0,0,0,"cemas sedikit, rasa takut lumayan, gelisah lumayan","1. Cobalah teknik pernapasan dalam: tarik napas dalam-dalam melalui hidung, tahan beberapa saat, lalu hembuskan perlahan melalui mulut. Ulangi beberapa kali.

2. Fokus pada hal-hal yang Anda bisa kendalikan saat ini, seperti mengatur postur tubuh Anda agar rileks dan memilih untuk melakukan aktivitas yang menenangkan, misalnya mendengarkan musik atau minum air hangat.

3. Jika rasa cemas berlanjut atau mengganggu aktivitas sehari-hari, jangan ragu untuk mencari bantuan profesional, seperti terapis atau psikolog.","Wah, kamu kayaknya lagi merasa cemas dan takut ya, ditambah lagi gelisah;  nggak apa-apa kok,  merasakan semua itu wajar banget dalam situasi seperti ini."
1,2,3,0,0,0,"cemas sedikit, rasa takut lumayan, gelisah tinggi","1.  Lakukan teknik pernapasan dalam:  Hirup napas dalam-dalam melalui hidung, tahan beberapa detik, dan hembuskan perlahan melalui mulut. Ulangi beberapa kali.

2.  Fokus pada hal-hal yang bisa Anda kendalikan saat ini:  Contohnya, minum air putih, mendengarkan musik yang menenangkan, atau memperhatikan lingkungan sekitar Anda.

3.  Hubungi seseorang yang Anda percayai: Berbagi perasaan Anda bisa membantu mengurangi rasa cemas.","Wah, kamu kayaknya lagi merasa cemas, takut, dan gelisah banget ya?  Aku ngerti banget kalau lagi kayak gini rasanya berat banget."
1,3,1,0,0,0,"cemas sedikit, rasa takut tinggi, gelisah sedikit","1. Cobalah teknik pernapasan dalam: tarik napas dalam-dalam melalui hidung, tahan beberapa saat, lalu hembuskan perlahan melalui mulut. Ulangi beberapa kali.

2. Fokus pada hal-hal yang Anda bisa kendalikan saat ini, misalnya,  apa yang Anda lihat, dengar, dan rasakan di sekitar Anda.

3. Minum air putih dan lakukan gerakan peregangan ringan untuk membantu merilekskan otot-otot yang tegang.","Wah, sepertinya kamu lagi merasa cemas dan takut banget ya, ditambah lagi sedikit gelisah?  Aku ngerti banget kalau lagi kayak gini pasti berat banget rasanya."
1,3,2,0,0,0,"cemas sedikit, rasa takut tinggi, gelisah lumayan","1. Cobalah teknik pernapasan dalam: Hirup napas dalam-dalam melalui hidung, tahan beberapa saat, lalu hembuskan perlahan melalui mulut. Ulangi beberapa kali.

2. Fokus pada hal-hal yang Anda bisa kendalikan saat ini, misalnya, apa yang Anda lihat, rasakan, dan dengar di sekitar Anda.

3. Minum air putih dan lakukan peregangan ringan untuk merilekskan otot-otot Anda.","Wah, kayaknya kamu lagi ngerasain kecemasan dan ketakutan yang cukup kuat ya?  Aku ngerti banget kalau lagi merasa gelisah dan nggak nyaman seperti ini,  dan itu wajar kok."
1,3,3,0,0,0,"cemas sedikit, rasa takut tinggi, gelisah tinggi","1. Fokus pada pernapasan Anda: Hirup napas dalam-dalam melalui hidung, tahan sebentar, dan hembuskan perlahan melalui mulut. Ulangi beberapa kali.

2.  Cari lingkungan yang menenangkan:  Cari tempat yang tenang dan nyaman, mungkin di luar ruangan atau di ruangan yang sunyi.

3.  Lakukan aktivitas yang menenangkan:  Cobalah aktivitas yang sederhana dan membumi seperti mendengarkan musik yang menenangkan, mandi air hangat, atau membaca buku.","Duh, kamu kayaknya lagi merasa cemas, takut, dan gelisah banget ya?  Aku ngerti banget kalau lagi ngalamin perasaan kayak gitu itu berat, dan  semua akan baik-baik saja kok."
2,1,1,0,0,0,"cemas lumayan, rasa takut sedikit, gelisah sedikit","1. Cobalah teknik pernapasan dalam: tarik napas dalam-dalam melalui hidung, tahan beberapa saat, lalu hembuskan perlahan melalui mulut. Ulangi beberapa kali.

2. Fokus pada hal-hal yang dapat Anda kendalikan saat ini, seperti mengatur postur tubuh Anda atau memilih mendengarkan musik yang menenangkan.

3. Minum air putih, dan jika memungkinkan, luangkan waktu sejenak untuk berjalan-jalan singkat di luar ruangan.","Kayaknya kamu lagi ngerasain cemas yang lumayan, sedikit takut, dan agak gelisah ya?  Aku ngerti banget, menghadapi perasaan kayak gitu pasti nggak mudah."
